ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
23035A0104,,,,,7.57,25.5,6.88,21.5,7.63,21.5,68.5,7.37,
23035A0105,,,,,7.73,25.5,7.6,21.5,8.53,21.5,68.5,7.94,*
23035A0106,,,,,6.69,25.5,6.53,21.5,7.33,21.5,68.5,6.84,
23035A0107,,,,,6.41,25.5,7.05,21.5,7.05,21.5,68.5,6.81,*
23035A0108,,,,,6.63,25.5,7.16,21.5,0.0,18.5,65.5,0.0,*
23035A0109,,,,,0.0,22.5,0.0,18.5,7.74,21.5,62.5,0.0,***
23035A0110,,,,,6.35,25.5,7.21,21.5,7.95,21.5,68.5,7.12,*
23035A0111,,,,,8.71,25.5,8.53,21.5,8.12,21.5,68.5,8.47,
23035A0112,,,,,6.8,25.5,0.0,18.5,0.0,18.5,62.5,0.0,*
23035A0113,,,,,0.0,19.5,0.0,18.5,6.91,21.5,59.5,0.0,***
23035A0114,,,,,6.88,25.5,0.0,18.5,0.0,18.5,62.5,0.0,**
23035A0115,,,,,7.29,25.5,6.88,21.5,6.28,21.5,68.5,6.84,
23035A0116,,,,,6.75,25.5,6.7,21.5,7.12,21.5,68.5,6.85,
23035A0117,,,,,7.31,25.5,7.02,21.5,7.26,21.5,68.5,7.2,
23035A0118,,,,,0.0,22.5,0.0,18.5,0.0,18.5,59.5,0.0,**
23035A0119,,,,,8.41,25.5,7.91,21.5,8.33,21.5,68.5,8.23,*
23035A0120,,,,,7.39,25.5,7.47,21.5,7.47,21.5,68.5,7.44,
23035A0121,,,,,7.65,25.5,7.0,21.5,7.21,21.5,68.5,7.31,**
23035A0122,,,,,8.31,25.5,6.84,21.5,0.0,18.5,65.5,0.0,
23035A0123,,,,,6.12,25.5,0.0,18.5,6.35,21.5,65.5,0.0,***
23035A0124,,,,,7.76,25.5,7.6,21.5,8.19,21.5,68.5,7.84,
23035A0125,,,,,0.0,22.5,0.0,15.5,6.28,21.5,59.5,0.0,*
23035A0126,,,,,5.94,25.5,0.0,18.5,,,44.0,0.0,***
23035A0127,,,,,7.0,25.5,6.19,21.5,7.05,21.5,68.5,6.76,**
23035A0128,,,,,0.0,22.5,6.02,21.5,6.77,21.5,65.5,0.0,**
23035A0129,,,,,0.0,21.5,7.02,21.5,7.63,21.5,64.5,0.0,**
23035A0130,,,,,6.53,25.5,0.0,18.5,7.28,21.5,65.5,0.0,***
23035A0131,,,,,7.22,25.5,7.09,21.5,0.0,18.5,65.5,0.0,**
23035A0132,,,,,0.0,22.5,0.0,18.5,0.0,18.5,59.5,0.0,***
23035A0133,,,,,0.0,22.5,0.0,18.5,6.77,21.5,62.5,0.0,***
23035A0134,,,,,0.0,22.5,6.23,21.5,7.07,21.5,65.5,0.0,**
23035A0135,,,,,0.0,16.5,0.0,12.5,,,29.0,0.0,***
23035A0136,,,,,6.53,25.5,6.37,21.5,7.42,21.5,68.5,6.76,
23035A0137,,,,,6.75,25.5,7.14,21.5,8.05,21.5,68.5,7.28,*
23035A0138,,,,,0.0,22.5,7.23,21.5,8.26,21.5,65.5,0.0,***
23035A0139,,,,,0.0,22.5,6.95,21.5,6.98,21.5,65.5,0.0,**
23035A0140,,,,,0.0,22.5,0.0,15.5,0.0,18.5,56.5,0.0,***
23035A0141,,,,,6.84,25.5,7.28,21.5,7.63,21.5,68.5,7.23,**
23035A0142,,,,,0.0,22.5,0.0,18.5,0.0,18.5,59.5,0.0,***
23035A0143,,,,,0.0,22.5,0.0,15.5,,,38.0,0.0,***
23035A0144,,,,,7.04,25.5,6.53,21.5,7.19,21.5,68.5,6.93,*
23035A0201,,,,,8.53,25.5,7.84,21.5,7.09,21.5,68.5,7.86,
23035A0202,,,,,8.12,25.5,8.6,21.5,8.05,21.5,68.5,8.25,
23035A0203,,,,,6.82,25.5,0.0,9.5,0.0,18.5,53.5,0.0,***
23035A0204,,,,,7.49,25.5,8.33,21.5,7.21,21.5,68.5,7.67,
23035A0205,,,,,8.12,25.5,0.0,18.5,6.3,21.5,65.5,0.0,*
23035A0206,,,,,5.88,25.5,7.23,21.5,6.33,21.5,68.5,6.44,**
23035A0207,,,,,6.8,25.5,6.72,21.5,0.0,18.5,65.5,0.0,*
23035A0208,,,,,7.53,25.5,7.35,21.5,6.47,21.5,68.5,7.14,
23035A0209,,,,,7.14,25.5,8.02,21.5,6.6,21.5,68.5,7.25,
23035A0210,,,,,7.35,25.5,0.0,18.5,0.0,18.5,62.5,0.0,*
23035A0211,,,,,8.06,25.5,8.33,21.5,7.49,21.5,68.5,7.97,
23035A0212,,,,,0.0,22.5,0.0,18.5,0.0,18.5,59.5,0.0,***
23035A0213,,,,,8.2,25.5,8.05,21.5,6.72,21.5,68.5,7.69,*
23035A0214,,,,,7.65,25.5,7.56,21.5,6.72,21.5,68.5,7.33,
23035A0215,,,,,8.55,25.5,8.4,21.5,8.56,21.5,68.5,8.51,
23035A0216,,,,,6.9,25.5,7.77,21.5,7.63,21.5,68.5,7.4,
23035A0217,,,,,7.25,25.5,7.63,21.5,6.37,21.5,68.5,7.09,
23035A0218,,,,,7.45,25.5,7.05,21.5,7.35,21.5,68.5,7.29,
23035A0219,,,,,8.08,25.5,8.74,21.5,8.19,21.5,68.5,8.32,
23035A0220,,,,,6.98,25.5,6.79,21.5,0.0,18.5,65.5,0.0,
23035A0221,,,,,7.35,25.5,7.42,21.5,0.0,18.5,65.5,0.0,
23035A0222,,,,,7.08,25.5,8.05,21.5,7.07,21.5,68.5,7.38,
23035A0223,,,,,7.9,25.5,9.02,21.5,8.33,21.5,68.5,8.39,
23035A0224,,,,,7.24,25.5,7.49,21.5,0.0,18.5,65.5,0.0,
