ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,3-2,Credits_3-2,4-1,Credits_4-1,4-2,Credits_4-2,Total Credits,CGPA,Supplementary Appearances
21031A0438,6.54,19.5,6.77,19.5,6.8,25.5,6.14,21.5,7.09,21.5,6.35,21.5,6.0,23.0,10.0,8.0,160.0,6.7,*******
21031A0439,6.62,19.5,6.38,19.5,6.65,25.5,0.0,18.5,7.16,21.5,6.93,21.5,6.65,23.0,10.0,8.0,157.0,0.0,*****
21031A0440,6.77,19.5,5.92,19.5,7.02,25.5,7.19,21.5,6.74,21.5,7.19,21.5,6.52,23.0,10.0,8.0,160.0,6.94,****
21031A0441,7.31,19.5,7.46,19.5,9.35,25.5,7.84,21.5,8.4,21.5,7.56,21.5,7.65,23.0,10.0,8.0,160.0,8.09,
21031A0442,6.15,19.5,6.54,19.5,6.63,25.5,6.4,21.5,7.02,21.5,7.91,21.5,7.26,23.0,10.0,8.0,160.0,7.01,**
21031A0443,7.31,19.5,6.46,19.5,7.04,25.5,6.65,21.5,6.98,21.5,6.42,21.5,6.52,23.0,10.0,8.0,160.0,6.93,*
21031A0444,7.54,19.5,7.38,19.5,7.73,25.5,7.14,21.5,7.53,21.5,7.77,21.5,7.0,23.0,10.0,8.0,160.0,7.57,
21031A0445,7.85,19.5,7.0,19.5,9.12,25.5,7.65,21.5,7.88,21.5,8.05,21.5,7.0,23.0,10.0,8.0,160.0,7.94,
21031A0446,7.0,19.5,6.85,19.5,7.12,25.5,7.21,21.5,7.67,21.5,8.81,21.5,7.52,23.0,10.0,8.0,160.0,7.59,
21031A0447,8.0,19.5,8.38,19.5,8.88,25.5,8.81,21.5,8.44,21.5,9.58,21.5,8.17,23.0,10.0,8.0,160.0,8.69,
21031A0448,6.62,19.5,6.69,19.5,7.04,25.5,7.09,21.5,7.33,21.5,7.49,21.5,7.96,23.0,10.0,8.0,160.0,7.33,******
21031A0449,6.85,19.5,6.69,19.5,8.08,25.5,6.67,21.5,7.49,21.5,7.28,21.5,6.74,23.0,10.0,8.0,160.0,7.29,**
21031A0450,6.0,19.5,6.0,19.5,7.25,25.5,6.4,21.5,6.98,21.5,7.05,21.5,6.78,23.0,10.0,8.0,160.0,6.84,**
21031A0451,6.23,19.5,6.62,19.5,7.43,25.5,6.79,21.5,7.42,21.5,7.63,21.5,7.26,23.0,10.0,8.0,160.0,7.23,***
21031A0452,0.0,16.5,6.92,19.5,0.0,22.5,0.0,18.5,6.42,21.5,0.0,15.5,0.0,17.0,10.0,8.0,139.0,0.0,***************
21031A0453,6.85,19.5,6.08,19.5,6.88,25.5,6.14,21.5,7.44,21.5,7.7,21.5,6.78,23.0,10.0,8.0,160.0,7.01,****
