ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24035A0216,,,,,8.2,20.0,20.0,8.2,
24035A0217,,,,,7.35,20.0,20.0,7.35,
24035A0218,,,,,8.72,20.0,20.0,8.72,
24035A0219,,,,,0.0,17.0,17.0,0.0,
24035A0221,,,,,7.22,20.0,20.0,7.22,
24035A0301,,,,,7.7,20.0,20.0,7.7,
24035A0302,,,,,7.92,20.0,20.0,7.92,
24035A0303,,,,,0.0,18.0,18.0,0.0,
24035A0304,,,,,0.0,18.0,18.0,0.0,
24035A0305,,,,,0.0,18.0,18.0,0.0,
24035A0306,,,,,6.52,20.0,20.0,6.52,
24035A0307,,,,,8.4,20.0,20.0,8.4,
24035A0308,,,,,7.58,20.0,20.0,7.58,
24035A0309,,,,,8.35,20.0,20.0,8.35,
24035A0310,,,,,7.08,20.0,20.0,7.08,
24035A0311,,,,,7.22,20.0,20.0,7.22,
24035A0312,,,,,7.48,20.0,20.0,7.48,
24035A0313,,,,,8.18,20.0,20.0,8.18,
24035A0314,,,,,7.22,20.0,20.0,7.22,
24035A0315,,,,,7.4,20.0,20.0,7.4,
24035A0316,,,,,7.02,20.0,20.0,7.02,
24035A0317,,,,,7.6,20.0,20.0,7.6,
24035A0318,,,,,0.0,17.0,17.0,0.0,
24035A0319,,,,,7.15,20.0,20.0,7.15,
24035A0320,,,,,7.85,20.0,20.0,7.85,
24035A0321,,,,,6.82,20.0,20.0,6.82,
24035A0322,,,,,7.08,20.0,20.0,7.08,
24035A0323,,,,,8.0,20.0,20.0,8.0,
24035A0324,,,,,7.9,20.0,20.0,7.9,
24035A0325,,,,,7.02,20.0,20.0,7.02,
24035A0326,,,,,6.72,20.0,20.0,6.72,
24035A0327,,,,,7.6,20.0,20.0,7.6,
24035A0328,,,,,8.1,20.0,20.0,8.1,
24035A0329,,,,,7.1,20.0,20.0,7.1,
24035A0330,,,,,0.0,17.0,17.0,0.0,
24035A0331,,,,,0.0,0.0,0.0,0.0,
24035A0332,,,,,8.25,20.0,20.0,8.25,
24035A0333,,,,,7.55,20.0,20.0,7.55,
24035A0334,,,,,7.6,20.0,20.0,7.6,
24035A0335,,,,,7.62,20.0,20.0,7.62,
24035A0336,,,,,0.0,18.0,18.0,0.0,
24035A0401,,,,,7.7,20.0,20.0,7.7,
24035A0402,,,,,7.8,20.0,20.0,7.8,
24035A0403,,,,,7.78,20.0,20.0,7.78,
24035A0404,,,,,7.92,20.0,20.0,7.92,
24035A0405,,,,,0.0,18.5,18.5,0.0,
24035A0406,,,,,0.0,17.0,17.0,0.0,
24035A0407,,,,,7.62,20.0,20.0,7.62,
24035A0408,,,,,7.7,20.0,20.0,7.7,
24035A0409,,,,,8.52,20.0,20.0,8.52,
24035A0410,,,,,6.58,20.0,20.0,6.58,
24035A0411,,,,,7.55,20.0,20.0,7.55,
24035A0412,,,,,8.88,20.0,20.0,8.88,
24035A0413,,,,,8.48,20.0,20.0,8.48,
24035A0501,,,,,8.1,20.0,20.0,8.1,
24035A0502,,,,,7.95,20.0,20.0,7.95,
24035A0503,,,,,7.92,20.0,20.0,7.92,
24035A0504,,,,,8.05,20.0,20.0,8.05,
24035A0505,,,,,8.48,20.0,20.0,8.48,
24035A0506,,,,,7.95,20.0,20.0,7.95,
24035A0507,,,,,0.0,17.0,17.0,0.0,
24035A0508,,,,,7.7,20.0,20.0,7.7,
24035A0509,,,,,7.5,20.0,20.0,7.5,
24035A0510,,,,,8.18,20.0,20.0,8.18,
24035A0511,,,,,8.1,20.0,20.0,8.1,
24035A0512,,,,,6.88,20.0,20.0,6.88,
24035A0513,,,,,8.1,20.0,20.0,8.1,
24035A0514,,,,,6.1,20.0,20.0,6.1,
24035A0515,,,,,8.45,20.0,20.0,8.45,
24035A0516,,,,,0.0,17.0,17.0,0.0,
